,name,MP ID,# of Mg,# of Al,energy,ene
0,Mg3 Al1,mp-978271,3 ,1,-8.47487765,-7.9079190137387
1,Mg16 Al13,mp-1094683,16 ,13,-73.22154196,-68.209490998941
2,Mg1 Al3,mp-1039180,1 ,3,-12.49573221,-11.125305574665
3,Mg1 Al1,mp-1039019,1 ,1,-5.26875544,-4.9235536822814
4,Mg2 Al4,mp-1039192,2 ,4,-14.22951916,-12.213552646763
5,Mg4 Al8,mp-1102064,4 ,8,-35.85653389,-32.914531960483
6,Mg1 Al3,mp-1038916,1 ,3,-12.80277021,-11.537212984992
7,Mg149 Al1,mp-1185596,149 ,1,-246.27247998,-228.29771566805
8,Mg23 Al30,mp-17659,23 ,30,-146.95837682,-136.39598467009
9,Mg1 Al1,mp-1038818,1 ,1,-3.56980224,-3.3739092472242
10,Mg13 Al16,mp-1194114,13 ,16,-80.15489019,-72.947760291852
11,Mg17 Al12,mp-2151,17 ,12,-72.93407098,-67.043419449463
12,Mg6 Al2,mp-1094970,6 ,2,-17.03464246,-15.724967818605
13,Mg41 Al67,mp-568106,41 ,67,-309.15013401,-284.9438556063
14,Mg2 Al2,mp-1094987,2 ,2,-10.57411098,-9.5855661286528
15,Mg16 Al13,mp-1094685,16 ,13,-73.49187089,-68.789769626658
16,Mg2 Al6,mp-1039119,2 ,6,-25.53097885,-22.937837910224
17,Mg4 Al8,mp-1094116,4 ,8,-36.62919434,-33.466570278145
18,Mg2 Al2,mp-1094664,2 ,2,-8.28271329,-6.8339127405869
19,Mg13 Al14,mp-12766,13 ,14,-71.50837221,-64.755462983845
20,Mg3 Al1,mp-1094666,3 ,1,-8.35319719,-7.5286275208742
21,Mg1 Al1,mp-1038779,1 ,1,-5.23993711,-4.9059647798904
22,Mg1 Al2,mp-1222013,1 ,2,-8.95972105,-8.1579236489997
23,Mg18 Al11,mp-1094700,18 ,11,-68.81962827,-64.970262153321
24,Mg3 Al1,mp-1094961,3 ,1,-8.47889765,-7.8977228592656
25,Mg1 Al1,mp-1039010,1 ,1,-4.45398604,-4.362700079132
26,Mg1 Al1,mp-1039141,1 ,1,-5.34736822,-4.9059452081059
27,Mg1 Al1,mp-1038934,1 ,1,-5.2160099,-4.5868254432448
28,Mg16 Al13,mp-1094692,16 ,13,-73.38769404,-68.488502509324
